item_id,restaurant_id,name,category,price
1,23,Nam Platter,Desserts,600.5
2,38,Perferendis Deluxe,Breads,596.62
3,90,Qui Bowl,Sides,688.07
4,99,Neque Bowl,Starters,186.56
5,41,Nemo Thali,Rice & Biryani,529.74
6,14,Repellat Platter,Breads,298.38
7,10,Aut Deluxe,Beverages,786.78
8,22,Debitis Wrap,Main Course,666.25
9,86,Ipsum Wrap,Beverages,384.97
10,34,Temporibus Deluxe,Rice & Biryani,569.88
11,45,Aut Combo,Main Course,590.31
12,7,Odio Platter,Combos,599.44
13,22,Omnis Platter,Combos,711.33
14,45,Vero Bowl,Sides,126.07
15,62,Quas Thali,Rice & Biryani,171.99
16,10,Laborum Thali,Starters,271.18
17,41,Debitis Combo,Main Course,105.65
18,22,Quod Platter,Breads,598.99
19,71,Tempore Special,Beverages,495.52
20,79,Repudiandae Platter,Starters,373.49
21,84,Ducimus Deluxe,Sides,167.83
22,13,Delectus Combo,Rice & Biryani,780.8
23,53,Non Wrap,Desserts,545.45
24,39,Provident Deluxe,Main Course,87.23
25,74,Aspernatur Bowl,Combos,165.19
26,47,Cupiditate Special,Sides,115.72
27,106,Quas Wrap,Combos,199.76
28,4,Dolor Deluxe,Breads,528.64
29,11,Incidunt Platter,Main Course,281.27
30,51,Doloremque Platter,Combos,721.16
31,34,Dolorem Special,Sides,188.66
32,114,Iste Platter,Beverages,189.94
33,6,Voluptatum Combo,Combos,398.79
34,29,Et Thali,Desserts,473.18
35,20,Laborum Thali,Main Course,114.28
36,45,Quas Thali,Sides,778.03
37,76,Id Deluxe,Starters,680.6
38,105,Beatae Bowl,Sides,774.22
39,88,Explicabo Thali,Combos,479.54
40,31,Eius Platter,Desserts,109.22
41,116,Tempora Thali,Starters,426.58
42,116,Quod Bowl,Breads,140.21
43,97,Harum Platter,Breads,761.8
44,22,Debitis Deluxe,Rice & Biryani,144.64
45,55,Sunt Special,Sides,201.44
46,106,Incidunt Wrap,Breads,675.58
47,34,Sint Combo,Main Course,115.27
48,72,Quibusdam Platter,Beverages,692.47
49,67,Consectetur Platter,Starters,639.91
50,80,Provident Bowl,Sides,134.39
51,20,Temporibus Deluxe,Main Course,743.7
52,73,Dolores Thali,Main Course,639.31
53,112,Rerum Bowl,Beverages,708.42
54,34,Repellendus Platter,Combos,479.02
55,61,Dolor Special,Breads,256.56
56,19,Dolores Bowl,Sides,79.09
57,114,Unde Combo,Rice & Biryani,86.97
58,61,Soluta Combo,Beverages,65.17
59,105,Sed Thali,Desserts,283.21
60,108,Labore Platter,Main Course,779.37
61,30,Recusandae Deluxe,Desserts,780.66
62,57,Animi Thali,Beverages,252.06
63,54,Aliquam Bowl,Main Course,190.95
64,28,Beatae Thali,Sides,605.71
65,98,Aperiam Bowl,Beverages,665.76
66,66,Temporibus Thali,Breads,99.21
67,91,Repellat Bowl,Sides,151.74
68,109,Fuga Bowl,Starters,180.3
69,113,Totam Thali,Rice & Biryani,677.73
70,32,Eos Special,Combos,87.92
71,47,Rem Wrap,Rice & Biryani,255.48
72,106,Nesciunt Platter,Sides,526.56
73,16,Sit Wrap,Starters,231.45
74,63,Tempore Bowl,Combos,183.19
75,112,Aliquam Platter,Beverages,308.19
76,108,Praesentium Combo,Main Course,263.8
77,50,Sunt Special,Breads,690.37
78,100,Quisquam Deluxe,Rice & Biryani,535.53
79,87,Illum Deluxe,Desserts,538.69
80,66,Temporibus Special,Starters,405.57
81,17,Incidunt Wrap,Breads,500.86
82,2,Perspiciatis Deluxe,Desserts,506.26
83,40,Exercitationem Wrap,Desserts,367.86
84,49,Vitae Thali,Beverages,394.25
85,28,Necessitatibus Platter,Desserts,557.9
86,106,In Bowl,Sides,488.37
87,1,Odit Bowl,Beverages,471.09
88,77,Aut Bowl,Desserts,273.86
89,14,Voluptas Platter,Main Course,302.21
90,36,Assumenda Wrap,Beverages,696.12
91,34,Dolore Wrap,Desserts,191.27
92,67,Nulla Thali,Rice & Biryani,724.77
93,104,Nesciunt Thali,Sides,545.4
94,88,Perspiciatis Deluxe,Starters,541.55
95,38,Officiis Combo,Sides,353.45
96,95,Enim Special,Rice & Biryani,307.38
97,92,Laboriosam Deluxe,Combos,729.89
98,86,Sequi Combo,Desserts,684.06
99,108,Dicta Wrap,Breads,270.34
100,61,Ipsam Deluxe,Desserts,593.89
101,72,Ipsum Thali,Breads,760.19
102,116,Laborum Combo,Main Course,216.69
103,29,Natus Wrap,Desserts,365.35
104,114,Delectus Combo,Beverages,245.42
105,38,Maxime Platter,Main Course,402.9
106,111,Quam Wrap,Main Course,404.16
107,25,Ratione Bowl,Main Course,700.62
108,49,Corrupti Bowl,Desserts,359.83
109,112,Ipsum Thali,Breads,153.02
110,26,Excepturi Combo,Sides,790.39
111,115,Omnis Platter,Breads,287.29
112,92,Cupiditate Deluxe,Main Course,415.69
113,81,Fugiat Deluxe,Beverages,525.87
114,1,Odio Platter,Desserts,207.04
115,100,Expedita Deluxe,Breads,417.18
116,98,Dicta Thali,Main Course,147.05
117,56,Consequatur Wrap,Sides,352.55
118,62,Architecto Platter,Starters,78.29
119,26,Illum Wrap,Beverages,762.55
120,115,Molestiae Combo,Rice & Biryani,63.44
121,1,Sint Wrap,Rice & Biryani,219.7
122,113,Nihil Combo,Desserts,146.7
123,50,Expedita Bowl,Desserts,175.27
124,106,Dolore Special,Desserts,761.35
125,59,Itaque Wrap,Beverages,375.25
126,88,Repellat Deluxe,Beverages,797.1
127,63,Ipsam Combo,Rice & Biryani,173.66
128,117,Eaque Thali,Sides,64.34
129,29,Dolore Wrap,Breads,208.39
130,3,Praesentium Bowl,Breads,142.37
131,92,Quam Wrap,Starters,331.39
132,82,Omnis Combo,Starters,495.44
133,7,Praesentium Wrap,Main Course,540.18
134,3,Inventore Special,Main Course,362.58
135,49,Praesentium Special,Desserts,405.8
136,20,Adipisci Deluxe,Starters,275.84
