order_item_id,order_id,item_id,quantity,unit_price
1,1,268,2,770.1
2,1,160,2,362.02
3,1,544,2,525.42
4,2,1597,3,620.24
5,2,2510,2,295.32
6,3,969,3,218.39
7,3,2312,1,94.79
8,3,1081,2,374.68
9,3,1076,3,653.45
10,4,1361,2,453.15
11,4,8,1,666.25
12,4,1274,1,329.33
13,5,892,1,369.27
14,5,1558,1,661.72
15,6,2189,2,268.1
16,6,662,2,240.81
17,6,2195,3,362.23
18,6,1140,2,325.7
19,7,2129,3,367.32
20,7,372,2,481.18
21,7,2735,3,729.61
22,8,255,3,67.81
23,8,7,1,786.78
24,9,735,3,685.73
25,9,2965,1,785.76
26,9,293,1,729.73
27,10,260,1,342.13
28,10,2185,2,87.43
29,10,1244,1,266.01
30,10,2403,3,115.15
31,11,1333,1,479.0
32,11,1714,3,256.41
33,12,2221,3,681.29
34,12,1631,3,388.0
35,12,2414,2,261.95
36,12,1922,1,611.08
37,13,104,1,245.42
38,13,57,2,86.97
39,14,2544,2,283.37
40,14,2638,3,773.87
41,14,458,2,359.68
42,14,2454,2,121.67
43,15,227,2,632.11
44,15,1296,2,231.0
45,16,1648,2,593.92
46,16,1650,2,763.3
47,16,53,3,708.42
48,16,173,1,613.57
49,17,2292,2,359.8
50,17,740,1,583.83
51,17,1321,1,752.62
52,18,2714,3,487.42
53,18,465,1,61.04
54,18,1494,2,405.83
55,19,56,1,79.09
56,19,1589,2,118.82
57,19,2948,3,449.62
58,20,1218,2,517.86
59,20,409,2,466.51
60,20,2634,1,336.43
61,21,803,3,569.17
62,21,1831,3,115.42
63,22,670,1,676.33
64,22,1598,2,64.86
65,23,1287,3,575.22
66,23,539,1,496.42
67,23,761,2,401.65
68,24,1963,3,184.39
69,24,2333,1,356.46
70,24,2573,3,400.13
71,25,397,1,754.74
72,25,1250,2,516.38
73,25,1099,1,533.22
74,25,774,1,307.14
75,26,584,2,717.8
76,26,759,1,563.06
77,26,1865,3,166.73
78,27,1338,3,771.78
79,27,567,2,605.01
80,27,1233,3,726.81
81,28,187,1,51.65
82,28,210,1,487.1
83,28,823,1,535.84
84,28,2976,1,211.4
85,29,2470,2,512.37
86,29,250,3,778.72
87,29,2208,2,672.42
88,30,2934,1,605.53
89,30,2816,1,224.73
90,31,2444,2,732.99
91,31,1656,1,350.12
92,31,2714,3,487.42
93,32,1588,1,525.78
94,32,165,3,59.27
95,32,1459,2,712.04
96,32,2722,3,281.98
97,33,1609,1,749.1
98,33,1199,3,319.28
99,33,838,2,232.01
100,34,701,2,129.45
101,34,214,1,89.8
102,35,168,3,374.64
103,35,2907,2,618.84
104,35,880,1,260.45
105,36,2445,2,464.71
106,36,1980,2,306.82
107,36,847,3,255.42
108,37,1320,2,156.6
109,37,2044,3,787.56
110,38,1405,2,710.07
111,38,2123,1,305.34
112,38,107,1,700.62
113,39,838,1,232.01
114,39,208,3,786.0
115,39,510,1,746.3
116,40,1756,2,463.66
117,40,2564,1,118.07
118,41,2214,2,275.67
119,41,1164,1,485.37
120,41,379,3,411.48
121,42,2644,1,732.31
122,42,2776,2,565.85
123,43,2205,3,90.15
124,43,1477,2,150.75
125,43,1565,2,714.1
126,43,918,2,191.27
127,44,497,3,50.54
128,44,1293,2,119.61
129,44,1296,2,231.0
130,45,586,1,115.85
131,45,928,2,414.61
132,45,2988,1,283.4
133,45,1644,3,799.58
134,46,1084,3,520.88
135,46,1696,2,366.83
136,46,370,3,310.61
137,46,1211,3,435.06
138,47,2904,1,706.43
139,47,2447,3,426.12
140,47,706,1,475.84
141,47,2100,2,109.83
