order_id,customer_id,restaurant_id,rider_id,order_timestamp,status,payment_method,total_amount,delivery_time_minutes,discount_applied
1,354,109,,2024-07-26 12:58:00,cancelled,wallet,3315.08,,0.0
2,477,57,22,2025-06-30 22:57:00,delivered,upi,2451.36,38,0.0
3,320,39,127,2026-06-28 12:07:00,delivered,netbanking,3459.67,16,0.0
4,214,22,79,2026-05-29 14:32:00,delivered,cash,1901.88,31,0.0
5,173,6,3,2026-06-19 22:42:00,delivered,wallet,1030.99,62,0.0
6,195,26,,2026-03-04 20:02:00,cancelled,wallet,2755.91,,0.0
7,283,25,6,2026-02-16 10:58:00,delivered,card,4253.15,66,0.0
8,125,10,88,2025-06-07 12:36:00,delivered,card,990.21,70,0.0
9,80,75,21,2026-06-10 22:40:00,delivered,card,3572.68,26,0.0
10,2,56,48,2024-08-26 14:03:00,delivered,netbanking,1128.45,45,0.0
11,443,111,49,2025-12-23 08:05:00,delivered,card,1248.23,59,0.0
12,97,24,,2025-12-01 13:25:00,cancelled,card,0.0,,0.0
13,336,114,111,2026-04-17 17:48:00,refunded,cash,398.39,20,20.97
14,7,96,123,2025-10-15 19:44:00,delivered,cash,3851.05,38,0.0
15,161,70,84,2026-04-30 15:37:00,in_progress,cash,1726.22,,0.0
16,238,112,,2026-05-15 12:09:00,cancelled,upi,5453.27,,0.0
17,78,76,41,2026-01-28 11:01:00,refunded,netbanking,2056.05,34,0.0
18,143,30,18,2026-03-23 23:27:00,delivered,netbanking,2334.96,35,0.0
19,149,19,32,2026-06-30 14:26:00,delivered,wallet,1332.47,53,333.12
20,175,93,60,2025-01-17 19:36:00,delivered,cash,1959.39,70,345.78
21,403,36,59,2026-04-03 18:44:00,delivered,upi,2053.77,60,0.0
22,417,105,83,2025-11-23 23:56:00,delivered,cash,806.05,20,0.0
23,309,116,,2026-05-30 16:04:00,cancelled,card,0.0,,0.0
24,168,46,,2025-08-14 12:50:00,cancelled,upi,0.0,,105.5
25,269,103,108,2025-10-17 20:27:00,delivered,upi,2627.86,20,0.0
26,229,81,73,2025-01-16 22:48:00,delivered,wallet,2498.85,25,0.0
27,490,3,83,2026-06-07 18:35:00,delivered,netbanking,4564.63,40,1141.16
28,429,98,61,2026-04-18 18:36:00,delivered,wallet,1157.39,20,128.6
29,174,11,141,2026-02-07 10:31:00,delivered,upi,4705.74,67,0.0
30,230,21,58,2025-11-02 15:15:00,delivered,upi,830.26,45,0.0
31,389,30,127,2024-08-01 18:20:00,refunded,cash,3278.36,16,0.0
32,282,9,43,2026-04-21 14:14:00,delivered,netbanking,2973.61,40,0.0
33,4,118,67,2026-02-28 16:35:00,delivered,wallet,1845.32,40,325.64
34,232,4,53,2026-04-02 20:13:00,delivered,wallet,348.7,27,0.0
35,427,89,80,2026-04-17 17:23:00,delivered,upi,2622.05,15,0.0
36,441,43,64,2026-04-12 20:46:00,delivered,card,2309.32,19,0.0
37,437,4,41,2026-06-14 08:17:00,delivered,upi,2675.88,21,0.0
38,331,25,117,2026-01-29 19:04:00,in_progress,upi,2062.19,,363.91
39,62,118,149,2026-02-28 08:56:00,delivered,wallet,3336.31,59,0.0
40,12,90,120,2024-03-05 12:13:00,delivered,card,836.31,41,209.08
41,296,115,61,2024-03-05 16:45:00,delivered,card,2044.03,59,227.12
42,333,6,,2025-06-30 23:50:00,cancelled,netbanking,1864.01,,0.0
43,84,48,75,2025-01-15 12:20:00,delivered,cash,2382.69,24,0.0
44,346,70,43,2026-05-04 10:38:00,delivered,upi,852.84,17,0.0
45,307,44,134,2026-05-01 13:54:00,delivered,wallet,3627.21,21,0.0
46,479,71,57,2025-01-18 15:43:00,delivered,cash,4533.31,51,0.0
47,353,97,79,2024-08-19 22:09:00,in_progress,cash,2546.28,,134.01
48,156,106,18,2025-04-18 14:01:00,delivered,card,850.91,31,44.79
49,217,46,11,2026-02-07 17:21:00,delivered,card,3085.92,58,0.0
50,256,41,90,2026-02-15 23:55:00,delivered,card,1368.72,58,0.0
51,195,5,9,2025-10-05 23:16:00,refunded,wallet,3787.71,35,946.93
52,283,100,130,2026-04-04 14:39:00,delivered,upi,4330.85,43,0.0
53,238,36,110,2026-04-12 09:16:00,delivered,card,1235.13,22,217.96
54,102,62,127,2025-07-18 20:49:00,delivered,card,3488.66,29,0.0
55,52,22,95,2026-03-23 08:28:00,delivered,cash,1155.79,55,0.0
56,243,5,130,2025-09-12 21:04:00,delivered,upi,2771.39,30,0.0
57,62,4,123,2025-11-06 13:42:00,delivered,upi,2730.78,19,0.0
58,299,53,96,2026-01-03 15:12:00,delivered,card,4505.67,18,0.0
59,58,68,123,2026-02-26 08:19:00,delivered,upi,1195.4,45,298.85
60,199,71,93,2025-11-12 10:09:00,delivered,cash,3214.28,29,803.57
61,31,97,58,2025-06-09 20:01:00,delivered,cash,2436.72,62,0.0
62,315,102,38,2026-06-15 13:15:00,delivered,wallet,3374.94,64,177.63
63,143,51,144,2026-05-06 18:19:00,delivered,netbanking,2934.9,58,0.0
64,71,61,59,2026-05-04 18:34:00,delivered,wallet,5295.78,35,0.0
65,465,31,49,2025-06-09 17:12:00,delivered,upi,4126.21,64,0.0
66,411,99,75,2026-02-16 19:45:00,delivered,netbanking,3476.32,55,0.0
67,405,82,,2024-12-07 23:23:00,cancelled,wallet,0.0,,0.0
68,311,10,141,2025-05-13 20:00:00,delivered,netbanking,2011.74,52,0.0
69,291,54,32,2024-02-22 21:40:00,delivered,card,2632.73,38,292.53
70,22,109,3,2024-04-20 16:08:00,delivered,netbanking,1438.59,22,75.72
71,369,36,57,2025-04-01 15:14:00,delivered,cash,1340.53,25,0.0
72,105,70,45,2025-08-07 10:36:00,delivered,card,1448.92,29,160.99
73,123,86,114,2026-06-28 20:28:00,delivered,cash,540.02,24,0.0
74,436,79,114,2024-11-08 16:13:00,delivered,upi,4694.79,53,0.0
75,361,10,60,2026-01-27 13:50:00,delivered,cash,2326.77,39,0.0
76,492,4,6,2025-07-30 15:41:00,delivered,cash,3200.4,46,0.0
77,466,55,10,2024-09-18 19:14:00,delivered,upi,1373.91,39,152.66
78,47,91,,2026-05-28 09:16:00,cancelled,upi,891.24,,222.81
79,210,40,109,2024-11-27 15:55:00,delivered,upi,1556.57,25,0.0
80,309,92,46,2026-06-22 11:17:00,delivered,upi,1501.56,24,0.0
81,126,101,121,2026-01-28 16:32:00,delivered,upi,1302.9,24,68.57
82,442,78,,2026-04-26 22:15:00,cancelled,upi,2152.32,,0.0
83,1,37,91,2026-04-12 23:43:00,delivered,cash,2691.27,65,0.0
84,385,33,77,2025-03-09 13:32:00,delivered,cash,3086.09,22,0.0
85,196,49,116,2024-03-04 18:31:00,delivered,upi,2922.23,70,0.0
86,333,102,120,2024-12-17 12:01:00,delivered,cash,1021.6,38,0.0
87,67,54,20,2026-01-24 12:57:00,refunded,wallet,3828.33,53,0.0
88,182,106,38,2026-03-23 09:59:00,delivered,wallet,1662.13,62,87.48
89,31,4,73,2026-04-22 19:01:00,delivered,netbanking,2747.38,38,0.0
90,300,16,,2026-02-15 23:27:00,cancelled,cash,4602.96,,511.44
91,375,93,11,2024-05-27 12:48:00,delivered,upi,2563.78,17,0.0
92,100,54,17,2026-06-24 12:27:00,delivered,upi,1576.06,29,0.0
93,474,87,85,2025-11-18 22:51:00,delivered,netbanking,4371.39,55,0.0
94,80,86,14,2026-03-22 16:51:00,delivered,wallet,3893.86,52,973.46
95,55,106,93,2025-06-03 15:56:00,delivered,cash,2396.76,41,0.0
96,291,43,8,2024-09-05 13:39:00,delivered,card,1066.96,36,266.74
97,158,31,87,2025-06-05 20:37:00,delivered,netbanking,1557.24,25,173.03
98,193,110,1,2026-03-04 10:50:00,delivered,upi,3578.11,45,188.32
99,150,108,1,2026-05-30 19:42:00,delivered,upi,3022.61,67,159.08
100,460,51,,2026-04-13 11:17:00,cancelled,netbanking,1374.33,,242.53
101,50,64,131,2026-06-19 17:02:00,delivered,cash,3004.7,34,0.0
102,215,104,31,2026-05-26 18:13:00,refunded,card,534.07,24,28.11
103,230,17,32,2025-07-29 17:49:00,delivered,netbanking,1786.48,56,0.0
104,374,76,9,2025-07-10 23:41:00,delivered,wallet,1680.63,68,88.45
105,200,24,146,2026-05-03 20:50:00,delivered,card,6634.32,70,0.0
106,446,101,72,2026-05-30 21:05:00,delivered,cash,1667.11,27,0.0
107,20,99,136,2025-04-13 18:51:00,delivered,netbanking,3158.13,40,557.32
108,314,119,17,2026-03-29 09:29:00,delivered,cash,1571.75,45,0.0
109,476,60,,2025-09-10 18:53:00,cancelled,netbanking,0.0,,0.0
110,118,6,140,2026-04-21 22:15:00,delivered,wallet,3870.46,41,0.0
111,394,77,4,2026-01-16 14:34:00,delivered,wallet,3426.29,58,380.7
112,332,32,53,2025-02-20 11:08:00,refunded,upi,5449.39,61,0.0
113,186,13,70,2024-10-22 17:34:00,delivered,cash,2184.4,26,0.0
114,173,16,92,2026-04-17 22:32:00,delivered,upi,1755.7,65,0.0
115,199,104,134,2026-06-06 16:46:00,delivered,upi,573.98,67,63.78
116,246,119,18,2026-03-31 08:21:00,delivered,cash,1437.71,62,359.43
117,286,99,5,2025-01-31 19:12:00,delivered,wallet,818.61,57,0.0
118,213,96,,2025-09-02 22:05:00,cancelled,netbanking,0.0,,0.0
119,372,98,36,2025-02-12 18:15:00,delivered,cash,970.86,59,0.0
120,79,36,84,2025-09-04 10:33:00,delivered,upi,2301.81,26,406.2
121,477,68,150,2025-04-07 19:07:00,delivered,card,1199.09,66,133.23
122,142,40,,2025-03-22 17:58:00,cancelled,netbanking,0.0,,138.97
123,3,14,,2024-10-03 23:51:00,cancelled,upi,0.0,,0.0
124,333,118,131,2024-07-26 08:30:00,delivered,card,766.5,30,0.0
125,349,67,,2026-04-03 14:31:00,cancelled,netbanking,0.0,,0.0
126,211,117,1,2025-09-20 15:39:00,delivered,upi,2698.37,22,0.0
127,383,33,12,2025-08-18 13:52:00,delivered,cash,2812.6,61,0.0
128,69,28,37,2025-04-13 08:41:00,delivered,card,783.91,24,195.98
129,445,48,63,2025-07-27 20:42:00,delivered,wallet,4221.22,46,0.0
130,224,7,75,2026-01-21 22:10:00,delivered,wallet,995.91,28,0.0
131,73,37,123,2025-10-08 08:30:00,delivered,cash,2990.41,39,527.72
132,113,57,,2025-07-06 15:41:00,cancelled,wallet,952.65,,168.11
133,442,85,143,2026-05-04 20:01:00,delivered,netbanking,1106.48,69,122.94
134,472,24,88,2025-12-28 08:09:00,delivered,upi,3912.27,15,0.0
135,56,94,92,2026-04-14 16:44:00,delivered,netbanking,2231.62,21,0.0
136,101,114,144,2024-02-16 18:22:00,delivered,card,2582.59,16,0.0
137,290,115,141,2026-04-07 09:13:00,delivered,upi,2149.88,43,0.0
138,378,28,116,2024-10-20 09:16:00,delivered,upi,1691.59,28,0.0
139,314,16,126,2026-02-10 15:02:00,delivered,cash,2693.26,67,0.0
140,455,43,147,2025-08-19 15:59:00,delivered,upi,3999.02,16,210.48
141,89,106,116,2026-05-30 09:46:00,delivered,card,743.57,29,39.14
142,61,93,,2026-01-12 19:40:00,cancelled,netbanking,0.0,,0.0
143,90,88,,2026-03-17 11:05:00,cancelled,netbanking,1691.4,,187.93
144,453,87,114,2026-06-29 18:56:00,delivered,netbanking,2444.49,32,0.0
145,110,119,33,2025-07-18 14:25:00,delivered,netbanking,1307.74,18,0.0
146,487,110,131,2026-06-28 20:58:00,delivered,card,2398.48,69,126.24
147,124,69,53,2025-09-23 10:16:00,delivered,upi,1847.1,23,0.0
148,358,82,71,2025-12-15 22:04:00,delivered,card,2180.72,69,0.0
149,392,2,124,2026-04-01 08:55:00,delivered,netbanking,3928.77,66,436.53
150,332,48,75,2025-12-29 08:46:00,delivered,netbanking,2183.74,31,385.37
151,417,19,11,2025-11-30 23:18:00,delivered,card,1479.69,35,0.0
152,260,56,71,2025-05-26 09:00:00,delivered,cash,1914.5,48,0.0
153,289,16,44,2024-06-14 16:32:00,delivered,card,1336.3,65,0.0
154,283,92,91,2026-04-09 09:26:00,delivered,netbanking,3594.96,65,0.0
155,399,82,65,2025-09-22 13:08:00,refunded,netbanking,810.57,68,0.0
156,64,114,64,2025-06-25 08:16:00,delivered,upi,3941.67,48,0.0
157,271,83,79,2024-10-01 15:09:00,delivered,card,4685.66,41,0.0
158,125,113,100,2026-05-07 12:23:00,delivered,cash,3265.27,33,0.0
159,81,46,88,2025-05-30 17:55:00,refunded,upi,2826.19,49,0.0
160,151,25,75,2026-01-16 08:42:00,refunded,netbanking,791.3,47,0.0
161,492,105,46,2024-01-24 15:46:00,delivered,wallet,4096.47,68,0.0
162,372,18,54,2025-03-14 18:02:00,delivered,upi,1625.02,63,0.0
163,425,68,120,2025-05-13 11:25:00,delivered,card,1915.52,61,0.0
164,279,7,83,2025-02-01 15:37:00,delivered,cash,1534.9,29,383.72
165,438,5,135,2024-06-06 23:48:00,delivered,upi,4138.93,394,0.0
166,421,4,86,2025-07-25 11:21:00,in_progress,cash,1967.66,,491.92
167,136,94,89,2026-06-23 11:46:00,delivered,card,1558.55,23,0.0
168,160,78,50,2026-02-23 17:06:00,delivered,upi,2011.3,25,502.82
