restaurant_id,name,cuisine_type,city,active_since,avg_rating
1,Varma's Express,Beverages,Delhi,2023-10-08,4.22
2,Rao's Cafe,South Indian,Bengaluru,2022-02-03,2.92
3,Solanki's Bistro,Beverages,Bengaluru,2023-03-23,4.26
4,Kulkarni's House,Desserts,Bengaluru,2023-02-10,3.52
5,Bansal's Diner,Fast Food,Ahmedabad,2023-06-22,3.0
6,Halder's Kitchen,Thai,Bengaluru,2021-02-03,2.73
7,Mangal's Express,Biryani,Ahmedabad,2022-04-17,4.56
8,Parikh's Corner,Thai,Ahmedabad,2020-12-08,4.24
9,Batta's Corner,Italian,Chennai,2020-03-07,
10,Narula's Diner,Thai,Kochi,2024-02-29,3.26
11,Mahajan's Express,South Indian,Kochi,2020-08-21,4.45
12,Dash's Cafe,Desserts,Mumbai,2024-04-05,3.24
13,Pillai's Bistro,South Indian,Hyderabad,2021-09-01,4.33
14,Sarkar's Cafe,Fast Food,Delhi,2022-06-18,
15,Ratta's Corner,Italian,Hyderabad,2024-07-18,4.68
16,Sarraf's Corner,Healthy,Kochi,2023-07-19,4.37
17,Raju's Corner,Italian,Hyderabad,2024-07-07,3.63
18,Nori's Cafe,Beverages,Jaipur,2020-12-10,2.74
19,Grover's Cafe,Beverages,Chennai,2024-10-23,3.38
20,Taneja's Corner,South Indian,Bengaluru,2024-03-16,3.83
21,Tank's Cafe,Biryani,Bengaluru,2023-12-07,4.49
22,Pillai's House,Fast Food,Hyderabad,2024-04-08,4.68
23,Venkataraman's Diner,Beverages,Chennai,2023-07-09,4.62
24,Loke's House,South Indian,Kolkata,2022-11-21,3.59
25,Butala's Cafe,Thai,Ahmedabad,2021-11-01,4.4
26,Samra's Corner,Healthy,Delhi,2024-02-05,4.0
27,Brar's House,Fast Food,Delhi,2024-06-17,4.93
28,Sani's Bistro,Italian,Ahmedabad,2021-07-03,3.88
29,Gole's Express,Beverages,Bengaluru,2023-03-05,3.37
30,Memon's House,North Indian,Mumbai,2020-07-22,4.65
31,Nagi's Kitchen,South Indian,Bengaluru,2022-06-22,4.1
32,Chauhan's Bistro,Italian,Bengaluru,2024-12-11,3.7
33,Buch's Cafe,South Indian,Pune,2021-05-27,4.16
