review_id,order_id,rating,review_text,review_date
1,2715,4,Delivery was late but food was good.,2024-09-21
2,20576,4,Average experience.,2026-03-16
3,22920,2,"Great food, arrived hot!",2025-01-24
4,2797,4,Value for money.,2025-11-22
5,20039,,Would not recommend.,2025-11-23
6,8540,3,Best biryani in town.,2026-05-22
7,6892,3,Delivery was late but food was good.,2026-01-25
8,3100,5,Fresh and tasty.,2025-12-30
9,21767,5,Absolutely delicious.,2025-09-16
10,22727,3,Delivery was late but food was good.,2026-03-23
11,9634,4,Food was cold on arrival.,2026-03-07
12,2294,3,Order was missing an item.,2026-03-14
13,6694,5,Order was missing an item.,2026-05-02
14,9272,3,Order was missing an item.,2026-01-10
15,11497,5,Perfect as always.,2025-09-14
16,15448,4,Best biryani in town.,2025-08-29
17,9192,5,"Loved it, will order again.",2026-06-22
18,2194,3,Fresh and tasty.,2026-07-02
19,13286,4,Portion size was small.,2025-09-14
20,5144,5,Packaging could be better.,2024-12-11
21,24107,4,Portion size was small.,2024-07-17
22,5903,3,Average experience.,2024-11-22
23,19288,1,Fresh and tasty.,2026-02-08
24,14437,5,Would not recommend.,2024-02-20
25,10862,4,"Loved it, will order again.",2026-05-30
26,16992,5,Order was missing an item.,2025-06-14
27,4167,1,Fresh and tasty.,2024-06-26
28,9031,4,"Great food, arrived hot!",2024-03-21
29,14137,4,Absolutely delicious.,2024-05-06
30,8775,5,"Loved it, will order again.",2024-12-03
31,9449,4,Fresh and tasty.,2025-11-16
32,5199,4,Portion size was small.,2024-06-09
33,24705,2,Would not recommend.,06/24/2026
34,6903,3,Best biryani in town.,2026-04-27
35,407,5,Delivery was late but food was good.,2026-03-30
36,14225,4,Average experience.,2026-01-01
37,21077,5,"Great food, arrived hot!",2024-09-10
38,16253,4,Perfect as always.,2025-02-18
39,9914,4,Absolutely delicious.,2025-08-18
40,12101,5,Delivery was late but food was good.,2026-05-04
41,14350,4,Fresh and tasty.,2026-06-06
42,634,4,Order was missing an item.,2025-08-14
43,3462,4,Food was cold on arrival.,2026-06-03
44,18805,1,Best biryani in town.,2025-09-29
45,3988,,Order was missing an item.,2026-05-08
46,18553,5,Packaging could be better.,2026-01-11
47,9829,5,Would not recommend.,2024-10-11
48,18939,5,Best biryani in town.,2025-07-07
49,6709,3,Average experience.,2026-06-29
50,7281,1,Packaging could be better.,2025-09-22
51,12354,,"Loved it, will order again.",2026-07-04
52,5387,4,Fresh and tasty.,2025-05-19
53,8396,5,Best biryani in town.,2025-12-20
54,23434,5,Order was missing an item.,2025-04-24
55,15189,4,Rider was polite and quick.,2026-02-22
56,14363,5,"Loved it, will order again.",2025-06-23
57,23379,5,Order was missing an item.,2026-02-21
58,2286,5,Order was missing an item.,2026-07-05
59,15551,5,Perfect as always.,2025-09-15
60,5279,4,Order was missing an item.,2025-05-13
61,20218,5,Would not recommend.,2026-05-30
62,3932,5,Food was cold on arrival.,2026-01-06
63,23911,5,Perfect as always.,2026-04-11
64,16336,,Order was missing an item.,2026-05-03
65,19424,3,"Loved it, will order again.",2025-05-25
66,562,4,Order was missing an item.,2026-05-09
67,17163,2,Would not recommend.,2026-01-19
68,18172,4,Food was cold on arrival.,2025-05-13
69,20475,,Fresh and tasty.,2026-05-04
70,8948,4,Delivery was late but food was good.,2026-05-26
71,15686,5,Packaging could be better.,2026-06-23
72,21190,,Fresh and tasty.,2026-05-10
73,18202,5,Average experience.,2025-01-01
74,14209,5,"Loved it, will order again.",2025-04-27
75,637,2,Food was cold on arrival.,2025-02-17
76,21454,4,Order was missing an item.,02/26/2026
77,4148,4,"Loved it, will order again.",2026-01-09
78,12413,5,Portion size was small.,2026-06-09
79,22157,5,Rider was polite and quick.,2025-11-02
80,5111,5,Fresh and tasty.,2025-11-29
81,23614,4,"Loved it, will order again.",2025-11-25
82,16495,4,Average experience.,2025-02-08
83,12950,2,Value for money.,2025-11-01
84,19528,,Perfect as always.,2025-05-06
85,13109,5,"Loved it, will order again.",2025-08-26
86,1658,4,Order was missing an item.,2025-06-02
87,16344,5,Packaging could be better.,2025-03-18
88,24163,4,Absolutely delicious.,2026-01-16
89,10436,5,Best biryani in town.,2025-12-15
90,8660,4,Average experience.,03/07/2025
91,3101,5,Value for money.,2025-04-07
92,755,4,Absolutely delicious.,2026-04-23
93,4770,3,Food was cold on arrival.,2026-03-20
94,19416,4,Perfect as always.,2026-04-26
95,11425,4,Order was missing an item.,2025-07-23
96,18148,,Perfect as always.,2026-01-21
97,70,5,Rider was polite and quick.,2024-04-22
98,13609,2,Would not recommend.,2026-02-05
99,1894,5,Absolutely delicious.,2024-02-10
